Any,Mes,Desc_Mes,Precipitacions
1808,6,Juny,34.7
1808,7,Juliol,0.0
1808,8,Agost,49.9
1808,9,Setembre,97.2
1808,10,Octubre,116.9
1808,11,Novembre,76.2
1808,12,Desembre,35.8
1809,1,Gener,23.0
1809,2,Febrer,5.3
1809,3,Març,23.8
1809,4,Abril,42.2
1809,5,Maig,8.5
1809,6,Juny,48.4
1809,7,Juliol,33.6
1809,8,Agost,89.8
1809,9,Setembre,47.8
1809,10,Octubre,38.7
1809,11,Novembre,39.4
1809,12,Desembre,2.0
1810,1,Gener,29.8
1810,2,Febrer,11.6
1810,3,Març,40.1
1810,4,Abril,39.3
1810,5,Maig,114.7
1810,6,Juny,65.0
1810,7,Juliol,23.5
1810,8,Agost,47.5
1810,9,Setembre,192.7
1810,10,Octubre,83.1
1810,11,Novembre,20.1
1810,12,Desembre,0.0
1811,1,Gener,28.3
1811,2,Febrer,160.8
1811,3,Març,13.4
1811,4,Abril,40.1
1811,5,Maig,138.1
1811,6,Juny,41.0
1811,7,Juliol,35.0
1811,8,Agost,61.1
1811,9,Setembre,104.9
1811,10,Octubre,106.3
1811,11,Novembre,0.0
1811,12,Desembre,0.0
1812,1,Gener,17.4
1812,2,Febrer,2.5
1812,3,Març,4.9
1812,4,Abril,62.0
1812,5,Maig,29.8
1812,6,Juny,2.5
1812,7,Juliol,12.4
1812,8,Agost,19.9
1812,9,Setembre,76.9
1812,10,Octubre,42.2
1812,11,Novembre,17.4
1812,12,Desembre,29.8
1813,1,Gener,27.4
1813,2,Febrer,2.5
1813,3,Març,7.5
1813,4,Abril,22.3
1813,5,Maig,12.4
1813,6,Juny,14.9
1813,7,Juliol,9.9
1813,8,Agost,14.9
1813,9,Setembre,101.6
1813,10,Octubre,54.6
1813,11,Novembre,4.9
1813,12,Desembre,12.4
1814,1,Gener,24.8
1814,2,Febrer,2.5
1814,3,Març,86.8
1814,4,Abril,76.9
1814,5,Maig,59.4
1814,6,Juny,37.3
1814,7,Juliol,17.4
1814,8,Agost,22.3
1814,9,Setembre,99.2
1814,10,Octubre,94.2
1814,11,Novembre,62.0
1814,12,Desembre,1.2
1815,1,Gener,19.9
1815,2,Febrer,2.5
1815,3,Març,9.9
1815,4,Abril,111.6
1815,5,Maig,89.2
1815,6,Juny,12.4
1815,7,Juliol,12.4
1815,8,Agost,22.3
1815,9,Setembre,14.9
1815,10,Octubre,94.2
1815,11,Novembre,22.3
1815,12,Desembre,9.9
1816,1,Gener,57.0
1816,2,Febrer,2.5
1816,3,Març,12.4
1816,4,Abril,109.1
1816,5,Maig,4.9
1816,6,Juny,52.1
1816,7,Juliol,12.4
1816,8,Agost,12.4
1816,9,Setembre,7.5
1816,10,Octubre,27.4
1816,11,Novembre,24.8
1816,12,Desembre,2.5
1817,1,Gener,9.9
1817,2,Febrer,0.0
1817,3,Març,4.9
1817,4,Abril,0.0
1817,5,Maig,34.7
1817,6,Juny,34.7
1817,7,Juliol,4.9
1817,8,Agost,7.5
1817,9,Setembre,32.2
1817,10,Octubre,69.4
1817,11,Novembre,9.9
1817,12,Desembre,7.5
1818,1,Gener,17.4
1818,2,Febrer,17.4
1818,3,Març,27.4
1818,4,Abril,49.7
1818,5,Maig,69.4
1818,6,Juny,2.5
1818,7,Juliol,44.6
1818,8,Agost,7.5
1818,9,Setembre,101.6
1818,10,Octubre,69.4
1818,11,Novembre,37.3
1818,12,Desembre,62.0
1819,1,Gener,49.7
1819,2,Febrer,24.8
1819,3,Març,39.7
1819,4,Abril,24.8
1819,5,Maig,37.3
1819,6,Juny,47.1
1819,7,Juliol,2.5
1819,8,Agost,71.9
1819,9,Setembre,96.7
1819,10,Octubre,44.6
1819,11,Novembre,62.0
1819,12,Desembre,128.9
1820,1,Gener,47.1
1820,2,Febrer,24.8
1820,3,Març,69.4
1820,4,Abril,57.0
1820,5,Maig,47.1
1820,6,Juny,52.1
1820,7,Juliol,2.5
1820,8,Agost,59.4
1820,9,Setembre,161.2
1820,10,Octubre,104.2
1820,11,Novembre,44.7
1820,12,Desembre,49.7
1821,1,Gener,37.3
1821,2,Febrer,7.5
1821,3,Març,29.8
1821,4,Abril,69.4
1821,5,Maig,114.1
1821,6,Juny,12.4
1821,7,Juliol,29.8
1821,8,Agost,59.4
1821,9,Setembre,47.1
1821,10,Octubre,54.6
1821,11,Novembre,12.4
1821,12,Desembre,27.4
1822,1,Gener,2.5
1822,2,Febrer,12.4
1822,3,Març,2.5
1822,4,Abril,22.3
1822,5,Maig,29.8
1822,6,Juny,2.5
1822,7,Juliol,2.5
1822,8,Agost,64.5
1822,9,Setembre,37.3
1822,10,Octubre,34.7
1822,11,Novembre,29.8
1822,12,Desembre,39.7
1823,1,Gener,27.4
1823,2,Febrer,9.9
1823,3,Març,9.9
1823,4,Abril,12.4
1823,5,Maig,3.7
1823,6,Juny,14.9
1823,7,Juliol,34.7
1823,8,Agost,7.5
1823,9,Setembre,34.7
1823,10,Octubre,66.9
1823,11,Novembre,14.9
1823,12,Desembre,2.5
1824,1,Gener,7.5
1824,2,Febrer,19.9
1824,3,Març,4.9
1824,4,Abril,17.4
1824,5,Maig,14.9
1824,6,Juny,57.0
1824,7,Juliol,0.0
1824,8,Agost,12.4
1824,9,Setembre,91.8
1824,10,Octubre,54.6
1824,11,Novembre,12.4
1824,12,Desembre,0.0
1825,1,Gener,0.0
1825,2,Febrer,0.0
1825,3,Març,24.8
1825,4,Abril,4.9
1825,5,Maig,54.6
1825,6,Juny,7.5
1825,7,Juliol,59.4
1825,8,Agost,59.4
1825,9,Setembre,126.5
1825,10,Octubre,47.1
1825,11,Novembre,71.9
1825,12,Desembre,54.6
1826,1,Gener,89.2
1826,2,Febrer,14.9
1826,3,Març,42.2
1826,4,Abril,42.2
1826,5,Maig,69.4
1826,6,Juny,69.4
1826,7,Juliol,62.0
1826,8,Agost,24.8
1826,9,Setembre,123.9
1826,10,Octubre,34.7
1826,11,Novembre,29.8
1826,12,Desembre,109.1
1827,1,Gener,39.4
1827,2,Febrer,38.6
1827,3,Març,1.2
1827,4,Abril,24.1
1827,5,Maig,49.4
1827,6,Juny,35.0
1827,7,Juliol,2.4
1827,8,Agost,21.7
1827,9,Setembre,120.6
1827,10,Octubre,108.5
1827,11,Novembre,6.0
1827,12,Desembre,7.2
1828,1,Gener,6.0
1828,2,Febrer,24.1
1828,3,Març,21.7
1828,4,Abril,43.4
1828,5,Maig,38.6
1828,6,Juny,0.0
1828,7,Juliol,7.2
1828,8,Agost,19.3
1828,9,Setembre,77.1
1828,10,Octubre,50.6
1828,11,Novembre,35.0
1828,12,Desembre,19.3
1829,1,Gener,20.5
1829,2,Febrer,20.5
1829,3,Març,19.3
1829,4,Abril,35.0
1829,5,Maig,116.2
1829,6,Juny,35.0
1829,7,Juliol,9.6
1829,8,Agost,24.6
1829,9,Setembre,93.7
1829,10,Octubre,22.9
1829,11,Novembre,67.2
1829,12,Desembre,35.6
1830,1,Gener,8.9
1830,2,Febrer,12.0
1830,3,Març,65.1
1830,4,Abril,8.4
1830,5,Maig,65.1
1830,6,Juny,60.8
1830,7,Juliol,4.8
1830,8,Agost,51.8
1830,9,Setembre,35.0
1830,10,Octubre,21.2
1830,11,Novembre,45.8
1830,12,Desembre,18.9
1831,1,Gener,60.3
1831,2,Febrer,25.9
1831,3,Març,21.7
1831,4,Abril,50.6
1831,5,Maig,55.2
1831,6,Juny,61.5
1831,7,Juliol,15.3
1831,8,Agost,50.6
1831,9,Setembre,122.9
1831,10,Octubre,35.0
1831,11,Novembre,10.8
1831,12,Desembre,45.8
1832,1,Gener,22.9
1832,2,Febrer,74.8
1832,3,Març,74.8
1832,4,Abril,60.3
1832,5,Maig,36.1
1832,6,Juny,16.9
1832,7,Juliol,9.6
1832,8,Agost,16.9
1832,9,Setembre,33.8
1832,10,Octubre,49.4
1832,11,Novembre,65.1
1832,12,Desembre,36.1
1833,1,Gener,20.9
1833,2,Febrer,16.9
1833,3,Març,105.8
1833,4,Abril,96.5
1833,5,Maig,19.3
1833,6,Juny,33.8
1833,7,Juliol,30.2
1833,8,Agost,38.6
1833,9,Setembre,58.0
1833,10,Octubre,48.2
1833,11,Novembre,48.2
1833,12,Desembre,30.2
1834,1,Gener,2.4
1834,2,Febrer,20.5
1834,3,Març,32.5
1834,4,Abril,16.9
1834,5,Maig,30.2
1834,6,Juny,32.5
1834,7,Juliol,28.8
1834,8,Agost,77.1
1834,9,Setembre,36.1
1834,10,Octubre,83.0
1834,11,Novembre,65.1
1834,12,Desembre,14.5
1835,1,Gener,16.9
1835,2,Febrer,4.8
1835,3,Març,9.6
1835,4,Abril,16.9
1835,5,Maig,36.1
1835,6,Juny,36.1
1835,7,Juliol,24.6
1835,8,Agost,32.5
1835,9,Setembre,30.2
1835,10,Octubre,19.3
1835,11,Novembre,33.8
1835,12,Desembre,33.8
1836,1,Gener,35.0
1836,2,Febrer,35.0
1836,3,Març,30.2
1836,4,Abril,61.5
1836,5,Maig,92.1
1836,6,Juny,16.9
1836,7,Juliol,33.8
1836,8,Agost,18.1
1836,9,Setembre,36.1
1836,10,Octubre,19.3
1836,11,Novembre,12.0
1836,12,Desembre,2.4
1837,1,Gener,9.6
1837,2,Febrer,18.1
1837,3,Març,60.3
1837,4,Abril,36.1
1837,5,Maig,35.0
1837,6,Juny,44.6
1837,7,Juliol,8.4
1837,8,Agost,16.9
1837,9,Setembre,103.7
1837,10,Octubre,9.6
1837,11,Novembre,49.4
1837,12,Desembre,30.2
1838,1,Gener,74.8
1838,2,Febrer,65.1
1838,3,Març,30.2
1838,4,Abril,48.2
1838,5,Maig,33.8
1838,6,Juny,15.7
1838,7,Juliol,0.0
1838,8,Agost,16.9
1838,9,Setembre,39.8
1838,10,Octubre,59.1
1838,11,Novembre,104.9
1838,12,Desembre,108.5
1839,1,Gener,74.8
1839,2,Febrer,49.4
1839,3,Març,18.1
1839,4,Abril,37.4
1839,5,Maig,51.8
1839,6,Juny,0.0
1839,7,Juliol,21.7
1839,8,Agost,19.3
1839,9,Setembre,32.5
1839,10,Octubre,59.1
1839,11,Novembre,63.9
1839,12,Desembre,44.6
1840,1,Gener,18.1
1840,2,Febrer,135.0
1840,3,Març,35.0
1840,4,Abril,36.1
1840,5,Maig,44.6
1840,6,Juny,0.0
1840,7,Juliol,49.4
1840,8,Agost,49.4
1840,9,Setembre,36.1
1840,10,Octubre,45.8
1840,11,Novembre,16.9
1840,12,Desembre,89.2
1841,1,Gener,63.9
1841,2,Febrer,86.5
1841,3,Març,51.8
1841,4,Abril,33.8
1841,5,Maig,61.5
1841,6,Juny,90.4
1841,7,Juliol,18.1
1841,8,Agost,22.9
1841,9,Setembre,35.0
1841,10,Octubre,44.6
1841,11,Novembre,8.4
1841,12,Desembre,44.6
1842,1,Gener,49.4
1842,2,Febrer,35.0
1842,3,Març,30.2
1842,4,Abril,73.5
1842,5,Maig,49.4
1842,6,Juny,49.4
1842,7,Juliol,35.0
1842,8,Agost,59.1
1842,9,Setembre,74.8
1842,10,Octubre,74.8
1842,11,Novembre,22.7
1842,12,Desembre,91.6
1843,1,Gener,7.2
1843,2,Febrer,76.0
1843,3,Març,104.9
1843,4,Abril,69.1
1843,5,Maig,74.6
1843,6,Juny,29.9
1843,7,Juliol,16.2
1843,8,Agost,10.4
1843,9,Setembre,198.0
1843,10,Octubre,47.9
1843,11,Novembre,88.8
1843,12,Desembre,0.0
1844,1,Gener,18.3
1844,2,Febrer,28.4
1844,3,Març,40.8
1844,4,Abril,40.4
1844,5,Maig,86.1
1844,6,Juny,40.3
1844,7,Juliol,31.4
1844,8,Agost,16.0
1844,9,Setembre,213.7
1844,10,Octubre,166.3
1844,11,Novembre,19.5
1844,12,Desembre,66.8
1845,1,Gener,63.2
1845,2,Febrer,14.8
1845,3,Març,72.9
1845,4,Abril,66.6
1845,5,Maig,49.3
1845,6,Juny,41.2
1845,7,Juliol,10.5
1845,8,Agost,81.3
1845,9,Setembre,97.0
1845,10,Octubre,43.2
1845,11,Novembre,99.1
1845,12,Desembre,9.9
1846,1,Gener,10.5
1846,2,Febrer,2.3
1846,3,Març,31.2
1846,4,Abril,59.4
1846,5,Maig,86.4
1846,6,Juny,41.8
1846,7,Juliol,14.3
1846,8,Agost,53.7
1846,9,Setembre,96.2
1846,10,Octubre,147.6
1846,11,Novembre,82.7
1846,12,Desembre,24.9
1847,1,Gener,50.7
1847,2,Febrer,7.7
1847,3,Març,50.9
1847,4,Abril,59.9
1847,5,Maig,35.7
1847,6,Juny,18.5
1847,7,Juliol,0.9
1847,8,Agost,38.7
1847,9,Setembre,23.1
1847,10,Octubre,152.7
1847,11,Novembre,45.0
1847,12,Desembre,72.3
1848,1,Gener,39.8
1848,2,Febrer,34.7
1848,3,Març,35.6
1848,4,Abril,127.9
1848,5,Maig,49.2
1848,6,Juny,69.5
1848,7,Juliol,13.4
1848,8,Agost,12.7
1848,9,Setembre,120.6
1848,10,Octubre,95.8
1848,11,Novembre,24.8
1848,12,Desembre,35.2
1849,1,Gener,38.2
1849,2,Febrer,1.4
1849,3,Març,43.5
1849,4,Abril,88.5
1849,5,Maig,51.0
1849,6,Juny,17.5
1849,7,Juliol,26.5
1849,8,Agost,54.2
1849,9,Setembre,199.9
1849,10,Octubre,74.0
1849,11,Novembre,44.0
1849,12,Desembre,40.6
1850,1,Gener,22.4
1850,2,Febrer,1.5
1850,3,Març,9.7
1850,4,Abril,67.5
1850,5,Maig,65.6
1850,6,Juny,22.9
1850,7,Juliol,17.8
1850,8,Agost,38.9
1850,9,Setembre,113.6
1850,10,Octubre,55.8
1850,11,Novembre,23.4
1850,12,Desembre,2.2
1851,1,Gener,41.4
1851,2,Febrer,96.1
1851,3,Març,21.6
1851,4,Abril,77.6
1851,5,Maig,44.3
1851,6,Juny,4.2
1851,7,Juliol,49.2
1851,8,Agost,7.4
1851,9,Setembre,83.7
1851,10,Octubre,66.9
1851,11,Novembre,51.7
1851,12,Desembre,0.0
1852,1,Gener,40.5
1852,2,Febrer,2.1
1852,3,Març,16.4
1852,4,Abril,89.9
1852,5,Maig,47.6
1852,6,Juny,76.9
1852,7,Juliol,37.5
1852,8,Agost,35.0
1852,9,Setembre,94.6
1852,10,Octubre,82.4
1852,11,Novembre,52.2
1852,12,Desembre,9.0
1853,1,Gener,59.9
1853,2,Febrer,53.3
1853,3,Març,58.3
1853,4,Abril,29.3
1853,5,Maig,188.4
1853,6,Juny,41.8
1853,7,Juliol,1.0
1853,8,Agost,19.9
1853,9,Setembre,103.6
1853,10,Octubre,151.6
1853,11,Novembre,140.9
1853,12,Desembre,10.6
1854,1,Gener,12.4
1854,2,Febrer,0.0
1854,3,Març,15.0
1854,4,Abril,131.6
1854,5,Maig,50.6
1854,6,Juny,56.9
1854,7,Juliol,41.2
1854,8,Agost,48.2
1854,9,Setembre,22.5
1854,10,Octubre,0.5
1854,11,Novembre,49.4
1854,12,Desembre,7.6
1855,1,Gener,36.9
1855,2,Febrer,64.8
1855,3,Març,55.1
1855,4,Abril,3.9
1855,5,Maig,98.3
1855,6,Juny,95.7
1855,7,Juliol,11.7
1855,8,Agost,9.7
1855,9,Setembre,73.3
1855,10,Octubre,40.3
1855,11,Novembre,108.8
1855,12,Desembre,21.5
1856,1,Gener,60.4
1856,2,Febrer,43.7
1856,3,Març,134.3
1856,4,Abril,47.9
1856,5,Maig,72.7
1856,6,Juny,183.3
1856,7,Juliol,58.3
1856,8,Agost,0.0
1856,9,Setembre,54.7
1856,10,Octubre,148.0
1856,11,Novembre,27.6
1856,12,Desembre,5.6
1857,1,Gener,36.5
1857,2,Febrer,65.3
1857,3,Març,141.8
1857,4,Abril,34.0
1857,5,Maig,67.6
1857,6,Juny,18.6
1857,7,Juliol,47.9
1857,8,Agost,79.7
1857,9,Setembre,190.7
1857,10,Octubre,20.3
1857,11,Novembre,105.0
1857,12,Desembre,31.2
1858,1,Gener,21.5
1858,2,Febrer,45.4
1858,3,Març,14.4
1858,4,Abril,18.8
1858,5,Maig,75.5
1858,6,Juny,3.1
1858,7,Juliol,101.0
1858,8,Agost,86.0
1858,9,Setembre,37.0
1858,10,Octubre,72.5
1858,11,Novembre,39.3
1858,12,Desembre,53.9
1859,1,Gener,0.0
1859,2,Febrer,10.9
1859,3,Març,45.7
1859,4,Abril,14.2
1859,5,Maig,59.6
1859,6,Juny,38.8
1859,7,Juliol,4.0
1859,8,Agost,51.2
1859,9,Setembre,101.6
1859,10,Octubre,56.4
1859,11,Novembre,110.6
1859,12,Desembre,66.8
1860,1,Gener,32.1
1860,2,Febrer,27.2
1860,3,Març,5.9
1860,4,Abril,101.4
1860,5,Maig,76.2
1860,6,Juny,79.8
1860,7,Juliol,55.8
1860,8,Agost,10.9
1860,9,Setembre,24.9
1860,10,Octubre,5.9
1860,11,Novembre,142.5
1860,12,Desembre,10.4
1861,1,Gener,58.5
1861,2,Febrer,50.6
1861,3,Març,81.9
1861,4,Abril,66.8
1861,5,Maig,19.8
1861,6,Juny,58.9
1861,7,Juliol,6.6
1861,8,Agost,0.0
1861,9,Setembre,60.2
1861,10,Octubre,155.4
1861,11,Novembre,9.5
1861,12,Desembre,57.7
1862,1,Gener,11.0
1862,2,Febrer,31.6
1862,3,Març,37.6
1862,4,Abril,36.7
1862,5,Maig,81.2
1862,6,Juny,46.4
1862,7,Juliol,2.1
1862,8,Agost,101.9
1862,9,Setembre,285.6
1862,10,Octubre,73.7
1862,11,Novembre,60.5
1862,12,Desembre,6.6
1863,1,Gener,37.6
1863,2,Febrer,12.6
1863,3,Març,44.2
1863,4,Abril,28.8
1863,5,Maig,89.4
1863,6,Juny,9.1
1863,7,Juliol,23.3
1863,8,Agost,11.6
1863,9,Setembre,62.4
1863,10,Octubre,82.2
1863,11,Novembre,45.9
1863,12,Desembre,28.7
1864,1,Gener,63.2
1864,2,Febrer,30.3
1864,3,Març,13.1
1864,4,Abril,8.4
1864,5,Maig,15.3
1864,6,Juny,7.5
1864,7,Juliol,0.0
1864,8,Agost,0.6
1864,9,Setembre,55.1
1864,10,Octubre,105.7
1864,11,Novembre,86.4
1864,12,Desembre,180.5
1865,1,Gener,7.9
1865,2,Febrer,4.0
1865,3,Març,93.9
1865,4,Abril,71.5
1865,5,Maig,24.7
1865,6,Juny,4.5
1865,7,Juliol,30.3
1865,8,Agost,45.2
1865,9,Setembre,110.9
1865,10,Octubre,81.2
1865,11,Novembre,25.2
1865,12,Desembre,42.0
1866,1,Gener,9.7
1866,2,Febrer,9.7
1866,3,Març,49.9
1866,4,Abril,15.7
1866,5,Maig,0.8
1866,6,Juny,38.0
1866,7,Juliol,6.5
1866,8,Agost,7.3
1866,9,Setembre,171.5
1866,10,Octubre,227.4
1866,11,Novembre,1.6
1866,12,Desembre,42.1
1867,1,Gener,54.8
1867,2,Febrer,22.4
1867,3,Març,21.8
1867,4,Abril,7.0
1867,5,Maig,19.7
1867,6,Juny,10.2
1867,7,Juliol,40.7
1867,8,Agost,36.2
1867,9,Setembre,63.7
1867,10,Octubre,35.2
1867,11,Novembre,32.8
1867,12,Desembre,8.1
1868,1,Gener,0.0
1868,2,Febrer,0.8
1868,3,Març,4.0
1868,4,Abril,40.0
1868,5,Maig,74.1
1868,6,Juny,19.4
1868,7,Juliol,43.9
1868,8,Agost,47.1
1868,9,Setembre,73.9
1868,10,Octubre,121.9
1868,11,Novembre,42.5
1868,12,Desembre,14.7
1869,1,Gener,25.0
1869,2,Febrer,79.3
1869,3,Març,52.2
1869,4,Abril,39.1
1869,5,Maig,21.5
1869,6,Juny,25.2
1869,7,Juliol,16.0
1869,8,Agost,27.5
1869,9,Setembre,10.7
1869,10,Octubre,40.7
1869,11,Novembre,0.0
1869,12,Desembre,49.0
1870,1,Gener,54.2
1870,2,Febrer,75.7
1870,3,Març,35.2
1870,4,Abril,94.0
1870,5,Maig,7.9
1870,6,Juny,7.4
1870,7,Juliol,28.5
1870,8,Agost,101.2
1870,9,Setembre,24.9
1870,10,Octubre,68.8
1870,11,Novembre,64.5
1870,12,Desembre,30.9
1871,1,Gener,39.4
1871,2,Febrer,61.2
1871,3,Març,64.5
1871,4,Abril,1.5
1871,5,Maig,65.5
1871,6,Juny,88.3
1871,7,Juliol,0.0
1871,8,Agost,45.4
1871,9,Setembre,104.6
1871,10,Octubre,38.7
1871,11,Novembre,128.6
1871,12,Desembre,51.7
1872,1,Gener,20.6
1872,2,Febrer,37.1
1872,3,Març,84.9
1872,4,Abril,25.2
1872,5,Maig,108.8
1872,6,Juny,5.5
1872,7,Juliol,38.6
1872,8,Agost,172.7
