Territori,Tipus de territori,Ús,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Vallcarca i els Penitents,Barri,Industrial i infraestructures,0.40,0.40,0.40,0.40,0.35,0.35,0.35,0.35,0.35,0.56,0.56,0.56,-
Vallcarca i els Penitents,Barri,Equipament,14.30,13.10,13.10,13.10,13.06,12.88,12.92,12.80,12.77,12.43,12.43,12.43,-
el Coll,Barri,Residencial,31,34.70,34.70,34.70,34.65,34.65,34.65,34.65,35.20,35.20,35.20,35.20,-
el Coll,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
el Coll,Barri,Equipament,8,3.40,3.40,3.40,3.39,3.39,3.39,3.39,3.47,3.47,3.47,3.47,-
la Salut,Barri,Residencial,29.60,30.10,30.40,30.10,30.12,29.82,29.82,30.13,30.01,30.13,30.13,30.13,-
la Salut,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Salut,Barri,Equipament,44.10,21.10,21.10,21.10,21.14,21.44,21.44,21.11,20.98,20.87,20.87,20.87,-
la Vila de Gràcia,Barri,Residencial,63,63,62.90,62.90,62.94,62.94,62.94,62.94,63.33,63.41,63.41,63.60,-
la Vila de Gràcia,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
la Vila de Gràcia,Barri,Equipament,8.30,8.30,8.40,8.40,8.37,8.37,8.37,8.37,8.42,8.34,8.34,8.41,-
el Camp d'en Grassot i Gràcia Nova,Barri,Residencial,59.30,59.30,59.30,59.30,59.33,59.33,59.32,59.32,59.28,59.23,59.23,59.23,-
el Camp d'en Grassot i Gràcia Nova,Barri,Industrial i infraestructures,-,-,-,-,-,-,-,-,-,-,-,-,-
el Camp d'en Grassot i Gràcia Nova,Barri,Equipament,7.10,7.10,7.10,7.10,7.08,7.08,7.08,7.08,7.00,7.00,6.92,6.92,-
Horta-Guinardó,Districte,Residencial,24.41,24.70,26.07,24.81,24.73,24.74,24.67,24.64,24.35,24.31,24.31,24.31,24.31
Horta-Guinardó,Districte,Industrial i infraestructures,0.32,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28
Horta-Guinardó,Districte,Equipament,12.09,12.09,12.09,12.10,12.09,12.09,12.09,12.08,12.15,12.25,12.25,12.25,12.08
el Baix Guinardó,Barri,Residencial,42.40,42.40,42.40,42.40,42.39,42.39,42.39,42.39,42.16,42.16,42.16,42.16,-
el Baix Guinardó,Barri,Industrial i infraestructures,0.30,0.30,0.30,0.30,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,-
