ELEMENT,DISTRICTE,BARRI,CODI_BARRI,ANY_ALTA,MES_ALTA_NOM,RECOMPTE,POBLACIO_HOMES,POBLACIO_DONES,POBLACIO_TOTAL,SUPERFICIE_TERRITORI,SUPERFICIE_RESIDENCIAL,TEMPERATURA,PRECIPITACIONS
Lavabo públic,Nou Barris,Porta,45,2023,Agost,1,13762,15216,28978,83.7,35.723,26.0,44.6
Lavabo públic,Nou Barris,Verdun,51,2024,Juny,2,6091,7103,13194,23.7,14.237,21.3,74.7
Lavabo públic,Nou Barris,Vilapicina i la Torre Llobeta,44,2023,Novembre,1,11912,14007,25919,56.4,29.322,14.8,3.7
Lavabo públic,Nou Barris,el Turó de la Peira,46,2023,Desembre,1,7612,8683,16295,35.4,13.3,12.1,2.7
Lavabo públic,Nou Barris,el Turó de la Peira,46,2023,Novembre,1,7612,8683,16295,35.4,13.3,14.8,3.7
Lavabo públic,Nou Barris,la Guineueta,48,2024,Novembre,1,7123,8250,15373,61.2,22.05,14.8,54.3
Lavabo públic,Nou Barris,la Prosperitat,52,2023,Agost,1,12479,14185,26664,59.1,27.068,26.0,44.6
Lavabo públic,Sant Andreu,Navas,63,2023,Juny,3,10342,11722,22064,42.4,22.455,23.4,39.8
Lavabo públic,Sant Andreu,Navas,63,2023,Novembre,1,10342,11722,22064,42.4,22.455,14.8,3.7
Lavabo públic,Sant Andreu,Navas,63,2024,Maig,1,10529,11882,22411,42.4,22.455,18.2,29.6
Lavabo públic,Sant Andreu,Sant Andreu,60,2023,Desembre,1,27346,30556,57902,186.7,76.472,12.1,2.7
Lavabo públic,Sant Andreu,el Bon Pastor,59,2024,Juliol,1,8025,7773,15798,186.8,17.802,25.8,33.4
Lavabo públic,Sant Andreu,el Congrés i els Indians,62,2024,Juny,1,7070,7875,14945,40.9,19.129,21.3,74.7
Lavabo públic,Sant Andreu,la Sagrera,61,2023,Novembre,1,14011,15897,29908,98.6,38.099,14.8,3.7
Lavabo públic,Sant Andreu,la Sagrera,61,2024,Juliol,1,14291,16101,30392,98.6,38.099,25.8,33.4
Lavabo públic,Sant Andreu,la Sagrera,61,2024,Juny,1,14291,16101,30392,98.6,38.099,21.3,74.7
Lavabo públic,Sant Andreu,la Sagrera,61,2024,Setembre,2,14291,16101,30392,98.6,38.099,20.8,70.7
Lavabo públic,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,2024,Febrer,1,6570,6924,13494,122.7,24.454,13.4,27.8
Lavabo públic,Sant Martí,Sant Martí de Provençals,72,2024,Setembre,1,12472,14103,26575,73.4,23.422,20.8,70.7
Lavabo públic,Sant Martí,el Besòs i el Maresme,70,2023,Juny,2,14781,13111,27892,120.9,28.508,23.4,39.8
Lavabo públic,Sant Martí,el Camp de l'Arpa del Clot,64,2023,Juny,1,17926,20417,38343,74.1,42.919,23.4,39.8
Lavabo públic,Sant Martí,el Camp de l'Arpa del Clot,64,2023,Setembre,1,17926,20417,38343,74.1,42.919,23.2,50.4
Lavabo públic,Sant Martí,el Camp de l'Arpa del Clot,64,2024,Octubre,2,18326,20734,39060,74.1,42.919,18.2,118.5
Lavabo públic,Sant Martí,el Clot,65,2023,Agost,1,12640,13830,26470,69.7,23.447,26.0,44.6
Lavabo públic,Sant Martí,el Clot,65,2024,Novembre,1,12738,14029,26767,69.7,23.447,14.8,54.3
Lavabo públic,Sant Martí,el Parc i la Llacuna del Poblenou,66,2023,Octubre,1,7916,8497,16413,112.2,22.328,20.2,29.2
Lavabo públic,Sant Martí,el Parc i la Llacuna del Poblenou,66,2024,Agost,1,8196,8843,17039,112.2,22.328,26.9,17.6
Lavabo públic,Sant Martí,el Parc i la Llacuna del Poblenou,66,2024,Juliol,1,8196,8843,17039,112.2,22.328,25.8,33.4
Lavabo públic,Sant Martí,el Poblenou,68,2023,Abril,1,16488,17663,34151,156.7,45.004,16.1,36.0
Lavabo públic,Sant Martí,el Poblenou,68,2023,Maig,2,16488,17663,34151,156.7,45.004,18.1,46.5
Lavabo públic,Sant Martí,el Poblenou,68,2023,Octubre,1,16488,17663,34151,156.7,45.004,20.2,29.2
Lavabo públic,Sant Martí,el Poblenou,68,2023,Setembre,6,16488,17663,34151,156.7,45.004,23.2,50.4
Lavabo públic,Sant Martí,el Poblenou,68,2024,Març,1,16667,17896,34563,156.7,45.004,13.1,87.9
Lavabo públic,Sant Martí,el Poblenou,68,2024,Octubre,4,16667,17896,34563,156.7,45.004,18.2,118.5
Lavabo públic,Sant Martí,el Poblenou,68,2024,Setembre,5,16667,17896,34563,156.7,45.004,20.8,70.7
Lavabo públic,Sant Martí,la Vila Olímpica del Poblenou,67,2023,Juny,1,4619,4719,9338,92.5,24.346,23.4,39.8
Lavabo públic,Sants-Montjuïc,Hostafrancs,15,2023,Juliol,1,7616,8353,15969,41.0,22.095,25.5,6.2
Lavabo públic,Sants-Montjuïc,Hostafrancs,15,2023,Març,1,7616,8353,15969,41.0,22.095,14.1,1.0
Lavabo públic,Sants-Montjuïc,Hostafrancs,15,2023,Novembre,1,7616,8353,15969,41.0,22.095,14.8,3.7
Lavabo públic,Sants-Montjuïc,Hostafrancs,15,2023,Octubre,1,7616,8353,15969,41.0,22.095,20.2,29.2
Lavabo públic,Sants-Montjuïc,Hostafrancs,15,2024,Juliol,1,7721,8471,16192,41.0,22.095,25.8,33.4
Lavabo públic,Sants-Montjuïc,Sants,18,2023,Abril,1,21409,23099,44508,109.5,59.382,16.1,36.0
